2q7|a|One of a fabulous race of female warriors in Scythia; hence, a female warrior. ; A tall, strong, masculine woman; a virago. ; A name numerous species of South American parrots of the genus Chrysotis	j:2cea,72,1;1c3j,54,1;1qu6,52,4;udq,52,8;1r4y,38,6;1w5j,33,8;egb,31,2;ml,14,1;4bp,10,14;2g08,8,2;26d7,3,3;2evl,0,1~4bp,10,14;1w5j,33,8;udq,52,8;1r4y,38,6;1qu6,52,4;26d7,3,3;2g08,8,2;egb,31,2;1c3j,54,1;2evl,0,1;ml,14,1;2cea,72,1
2ql|n|A yellowish translucent resin resembling copal, found as a fossil in alluvial soils, with beds of lignite, or on the seashore in many places. It takes a fine polish, and is used for pipe mouthpieces, beads, etc., and as a basis for a fine varnish. By friction, it becomes strongly electric. ; Amber color, or anything amber-colored; a clear light yellow; as, the amber of the sky. ; Ambergris. ; The balsam, liquidambar.	V:274,107,3~274,107,3	N:274,119,7;2fzl,100,3;26z,93,2~274,119,7;2fzl,100,3;26z,93,2
2ql|v|To scent or flavor with ambergris; as, ambered wine. ; To preserve in amber; as, an ambered fly.	o:274,101,2~274,101,2
2qv|n|Something that surrounds or invests; as, air . . . being a perpetual ambient.	a:1atg,46,7;10xb,35,6~1atg,46,7;10xb,35,6	n:98,46,11;19yi,11,9;97,8,9~98,46,11;97,8,9;19yi,11,9	N:19wv,93,65;11vf,84,2;1zm,83,16;mz9,82,37;2823,79,40;281q,71,5;bhs,71,4;1h80,67,7;1wx5,67,12;104g,47,3;18tz,36,5;22pe,32,2;1el8,15,1~19wv,93,65;2823,79,40;mz9,82,37;1zm,83,16;1wx5,67,12;1h80,67,7;18tz,36,5;281q,71,5;bhs,71,4;104g,47,3;11vf,84,2;22pe,32,2;1el8,15,1
2qv|v|Encompassing on all sides; circumfused; investing.	o:mz9,40,2~mz9,40,2
2qv|a|Encompassing on all sides; circumfused; investing.	j:11vf,90,3;2823,87,68;19wv,69,12;1h80,62,5;mz9,61,9;bhs,61,2;1wx5,59,7;281q,58,2;inh,43,2;18tz,33,4;104g,32,1;1el8,15,1~2823,87,68;19wv,69,12;mz9,61,9;1wx5,59,7;1h80,62,5;18tz,33,4;11vf,90,3;bhs,61,2;inh,43,2;281q,58,2;104g,32,1;1el8,15,1
2qy|n|of Ambiguity	a:22gw,17,4~22gw,17,4
2qz|n|The quality or state of being ambiguous; doubtfulness or uncertainty, particularly as to the signification of language, arising from its admitting of more than one meaning; an equivocal word or expression.	a:1f5x,65,5;1ptt,40,7;qoo,28,8;1pok,21,7;1abn,20,3;22gw,19,27;629,17,3;69i,12,1~22gw,19,27;qoo,28,8;1ptt,40,7;1pok,21,7;1f5x,65,5;629,17,3;1abn,20,3;69i,12,1	v:1v59,68,2;1vp8,61,5;69i,55,20;ca2,54,4;169z,54,3;hzj,48,13;1v56,44,8~69i,55,20;hzj,48,13;1v56,44,8;1vp8,61,5;ca2,54,4;169z,54,3;1v59,68,2	n:1v59,58,1;69i,12,1;2gt7,10,4;629,1,1~2gt7,10,4;1v59,58,1;629,1,1;69i,12,1
2r0|a|Doubtful or uncertain, particularly in respect to signification; capable of being understood in either of two or more possible senses; equivocal; as, an ambiguous course; an ambiguous expression.	j:1xw1,51,5;2gzr,51,3;27d9,41,6;18tz,35,9;28aa,29,4;28bd,26,4;1zqs,25,2;1t0i,23,12;bz9,23,4;1vuk,15,4;21bt,12,3;1t04,6,10~1t0i,23,12;1t04,6,10;18tz,35,9;27d9,41,6;1xw1,51,5;1vuk,15,4;28aa,29,4;bz9,23,4;28bd,26,4;21bt,12,3;2gzr,51,3;1zqs,25,2	e:15ow,56,3;22hc,54,18;25v4,48,4;1ptv,48,8;21pc,47,9;19lo,47,43;29qk,25,14;1f74,19,37;2epf,19,21;1qqa,15,3;22ha,8,2~19lo,47,43;1f74,19,37;2epf,19,21;22hc,54,18;29qk,25,14;21pc,47,9;1ptv,48,8;25v4,48,4;1qqa,15,3;15ow,56,3;22ha,8,2
2r7|n|The act of going about to solicit or obtain an office, or any other object of desire; canvassing. ; An eager, and sometimes an inordinate, desire for preferment, honor, superiority, power, or the attainment of something.	a:1mx1,39,4;1kei,27,4~1mx1,39,4;1kei,27,4
