29zi|a|Of, pertaining to, or in the region of, the zygoma.	j:8in,121,5;4bp,108,3;1lqj,65,5~8in,121,5;1lqj,65,5;4bp,108,3
29zq|n|A soluble ferment, or enzyme. See Enzyme.	N:wu,98,3~wu,98,3
