5y1|n|A large shallow vat; a cistern, tub, or trough, used by brewers, distillers, dyers, picklers, gluemakers, and others, for mixing or cooling wort, holding water, hot glue, etc. ; A ferryboat. See Bac, 1. ; In human beings, the hinder part of the body, extending from the neck to the end of the spine; in other animals, that part of the body which corresponds most nearly to such part of a human being; as, the back of a horse, fish, or lobster. ; An extended upper part, as of a mountain or ridge. ; The outward or upper part of a thing, as opposed to the inner or lower part; as, the back of the hand, the back of the foot, the back of a hand rail. ; The part opposed to the front; the hinder or rear part of a thing; as, the back of a book; the back of an army; the back of a chimney. ; The part opposite to, or most remote from, that which fronts the speaker or actor; or the part out of sight, or not generally seen; as, the back of an island, of a hill, or of a village. ; The part of a cutting tool on the opposite side from its edge; as, the back of a knife, or of a saw. ; A support or resource in reserve. ; The keel and keelson of a ship. ; The upper part of a lode, or the roof of a horizontal underground passage. ; A garment for the back; hence, clothing.	N:15n8,24,8~15n8,24,8
5y1|a|Being at the back or in the rear; distant; remote; as, the back door; back settlements. ; Being in arrear; overdue; as, back rent. ; Moving or operating backward; as, back action.	j:1le1,23,6;1ukf,8,4~1le1,23,6;1ukf,8,4
5yk|n|Ground in the rear or behind, or in the distance, as opposed to the foreground, or the ground in front. ; The space which is behind and subordinate to a portrait or group of figures. ; Anything behind, serving as a foil; as, the statue had a background of red hangings. ; A place in obscurity or retirement, or out of sight.	a:1w1v,27,6;1awf,9,2~1w1v,27,6;1awf,9,2	V:11j2,49,4~11j2,49,4	n:18db,81,4~18db,81,4
5ys|n|The distance through which one part of connected machinery, as a wheel, piston, or screw, can be moved without moving the connected parts, resulting from looseness in fitting or from wear; also, the jarring or reflex motion caused in badly fitting machinery by irregularities in velocity or a reverse of motion.	a:3iz,96,1~3iz,96,1	v:nha,89,3~nha,89,3	V:28ua,13,4~28ua,13,4	n:3iz,106,2~3iz,106,2	N:fum,98,7;e7u,85,5~fum,98,7;e7u,85,5
5zy|a|Of or pertaining to bacteria.	j:w08,141,4~w08,141,4
60f|a|Bade. ; Wanting good qualities, whether physical or moral; injurious, hurtful, inconvenient, offensive, painful, unfavorable, or defective, either physically or morally; evil; vicious; wicked; -- the opposite of good; as, a bad man; bad conduct; bad habits; bad soil; bad health; bad crop; bad news.	j:wdt,83,4;ocd,56,3;1vx8,48,3;1qw7,48,3;8ib,46,5;cdy,46,7;1bf,43,5;9xj,42,6;1703,42,5;ex5,39,7~rpw,3,8;ex5,39,7;124,27,7;cdy,46,7;1ne2,23,7;9xj,42,6;21y4,24,6;qp1,16,6;zf8,29,6;x3y,22,5	e:pf6,27,4;1lgp,24,8;1oar,17,7;1xx3,15,6;2753,5,8;22p7,0,5~2753,5,8;1lgp,24,8;1oar,17,7;1xx3,15,6;22p7,0,5;pf6,27,4
60k|n|A distinctive mark, token, sign, or cognizance, worn on the person; as, the badge of a society; the badge of a policeman. ; Something characteristic; a mark; a token. ; A carved ornament on the stern of a vessel, containing a window or the representation of one.	n:ncy,134,5~ncy,134,5
636|v|of Balance	o:vo,113,4~vo,113,4
64h|n|Any round or roundish body or mass; a sphere or globe; as, a ball of twine; a ball of snow. ; A spherical body of any substance or size used to play with, as by throwing, knocking, kicking, etc. ; A general name for games in which a ball is thrown, kicked, or knocked. See Baseball, and Football. ; Any solid spherical, cylindrical, or conical projectile of lead or iron, to be discharged from a firearm; as, a cannon ball; a rifle ball; -- often used collectively; as, powder and ball. Spherical balls for the smaller firearms are commonly called bullets. ; A flaming, roundish body shot into the air; a case filled with combustibles intended to burst and give light or set fire, or to produce smoke or stench; as, a fire ball; a stink ball. ; A leather-covered cushion, fastened to a handle called a ballstock; -- formerly used by printers for inking the form, but now superseded by the roller. ; A roundish protuberant portion of some part of the body; as, the ball of the thumb; the ball of the foot. ; A large pill, a form in which medicine is commonly given to horses; a bolus. ; The globe or earth. ; A social assembly for the purpose of dancing.	a:y61,68,3~y61,68,3	v:26ev,26,4~26ev,26,4	V:6ol,68,3;26mi,64,1;1st7,39,2~6ol,68,3;1st7,39,2;26mi,64,1	N:h71,89,5;26mi,84,4;6ol,62,2;1st7,52,5~h71,89,5;1st7,52,5;26mi,84,4;6ol,62,2
65v|n|A raft or float, used principally on the Pacific coast of South America.	N:2945,105,3~2945,105,3
66p|v|A fillet, strap, or any narrow ligament with which a thing is encircled, or fastened, or by which a number of things are tied, bound together, or confined; a fetter. ; A continuous tablet, stripe, or series of ornaments, as of carved foliage, of color, or of brickwork, etc. ; In Gothic architecture, the molding, or suite of moldings, which encircles the pillars and small shafts. ; That which serves as the means of union or connection between persons; a tie. ; A linen collar or ruff worn in the 16th and 17th centuries. ; Two strips of linen hanging from the neck in front as part of a clerical, legal, or academic dress. ; A narrow strip of cloth or other material on any article of dress, to bind, strengthen, ornament, or complete it. ; A company of persons united in any common design, especially a body of armed men. ; A number of musicians who play together upon portable musical instruments, especially those making a loud sound, as certain wind instruments (trumpets, clarinets, etc.), and drums, or cymbals. ; A space between elevated lines or ribs, as of the fruits of umbelliferous plants. ; A stripe, streak, or other mark transverse to the axis of the body. ; A belt or strap. ; A bond ; Pledge; security. ; To bind or tie with a band. ; To mark with a band. ; To unite in a troop, company, or confederacy. ; To confederate for some common purpose; to unite; to conspire together. ; To bandy; to drive away.	s:1r7d,102,3~1r7d,102,3
676|n|of Band	N:13gh,49,1~13gh,49,1
676|a|of Band	j:13gh,59,2~13gh,59,2
69o|n|A piece of wood, metal, or other material, long in proportion to its breadth or thickness, used as a lever and for various other purposes, but especially for a hindrance, obstruction, or fastening; as, the bars of a fence or gate; the bar of a door. ; An indefinite quantity of some substance, so shaped as to be long in proportion to its breadth and thickness; as, a bar of gold or of lead; a bar of soap. ; Anything which obstructs, hinders, or prevents; an obstruction; a barrier. ; A bank of sand, gravel, or other matter, esp. at the mouth of a river or harbor, obstructing navigation. ; Any railing that divides a room, or office, or hall of assembly, in order to reserve a space for those having special privileges; as, the bar of the House of Commons. ; The railing that incloses the place which counsel occupy in courts of justice. Hence, the phrase at the bar of the court signifies in open court. ; The place in court where prisoners are stationed for arraignment, trial, or sentence. ; The whole body of lawyers licensed in a court or district; the legal profession. ; A special plea constituting a sufficient answer to plaintiff's action. ; Any tribunal; as, the bar of public opinion; the bar of God. ; A barrier or counter, over which liquors and food are passed to customers; hence, the portion of the room behind the counter where liquors for sale are kept. ; An ordinary, like a fess but narrower, occupying only one fifth part of the field. ; A broad shaft, or band, or stripe; as, a bar of light; a bar of color. ; A vertical line across the staff. Bars divide the staff into spaces which represent measures, and are themselves called measures. ; The space between the tusks and grinders in the upper jaw of a horse, in which the bit is placed. ; The part of the crust of a horse's hoof which is bent inwards towards the frog at the heel on each side, and extends into the center of the sole. ; A drilling or tamping rod. ; A vein or dike crossing a lode. ; A gatehouse of a castle or fortified town. ; A slender strip of wood which divides and supports the glass of a window; a sash bar. ; To fasten with a bar; as, to bar a door or gate. ; To restrict or confine, as if by a bar; to hinder; to obstruct; to prevent; to prohibit; as, to bar the entrance of evil; distance bars our intercourse; the statute bars my right; the right is barred by time; a release bars the plaintiff's recovery; -- sometimes with up. ; To except; to exclude by exception. ; To cross with one or more stripes or lines.	n:22ko,110,3;1lwo,89,6~1lwo,89,6;22ko,110,3
6bb|a|Without clothes or covering; stripped of the usual covering; naked; as, his body is bare; the trees are bare. ; With head uncovered; bareheaded. ; Without anything to cover up or conceal one's thoughts or actions; open to view; exposed. ; Plain; simple; unadorned; without polish; bald; meager. ; Destitute; indigent; empty; unfurnished or scantily furnished; -- used with of (rarely with in) before the thing wanting or taken away; as, a room bare of furniture. ; Threadbare; much worn. ; Mere; alone; unaccompanied by anything else; as, a bare majority. ; To strip off the covering of; to make bare; as, to bare the breast.	j:2et,72,6;19qd,68,4;197b,59,5;ux5,56,5~2et,72,6;ux5,56,5;197b,59,5;19qd,68,4
6eu|n|A carpentry obstruction, stockade, or other obstacle made in a passage in order to stop an enemy. ; A fortress or fortified town, on the frontier of a country, commanding an avenue of approach. ; A fence or railing to mark the limits of a place, or to keep back a crowd. ; An any obstruction; anything which hinders approach or attack. ; Any limit or boundary; a line of separation.	a:21ut,73,9~21ut,73,9	n:x3w,54,7~x3w,54,7	N:244v,63,3;24jh,61,3~244v,63,3;24jh,61,3
6g1|n|The bottom of anything, considered as its support, or that on which something rests for support; the foundation; as, the base of a statue. ; Fig.: The fundamental or essential part of a thing; the essential principle; a groundwork. ; The lower part of a wall, pier, or column, when treated as a separate feature, usually in projection, or especially ornamented. ; The lower part of a complete architectural design, as of a monument; also, the lower part of any elaborate piece of furniture or decoration. ; That extremity of a leaf, fruit, etc., at which it is attached to its support. ; The positive, or non-acid component of a salt; a substance which, combined with an acid, neutralizes the latter and forms a salt; -- applied also to the hydroxides of the positive elements or radicals, and to certain organic bodies resembling them in their property of forming salts with acids. ; The chief ingredient in a compound. ; A substance used as a mordant. ; The exterior side of the polygon, or that imaginary line which connects the salient angles of two adjacent bastions. ; The line or surface constituting that part of a figure on which it is supposed to stand. ; The number from which a mathematical table is constructed; as, the base of a system of logarithms. ; A low, or deep, sound. (Mus.) (a) The lowest part; the deepest male voice. (b) One who sings, or the instrument which plays, base. ; A place or tract of country, protected by fortifications, or by natural advantages, from which the operations of an army proceed, forward movements are made, supplies are furnished, etc. ; The smallest kind of cannon. ; That part of an organ by which it is attached to another more central organ. ; The basal plane of a crystal. ; The ground mass of a rock, especially if not distinctly crystalline. ; The lower part of the field. See Escutcheon. ; The housing of a horse. ; A kind of skirt ( often of velvet or brocade, but sometimes of mailed armor) which hung from the middle to about the knees, or lower. ; The lower part of a robe or petticoat. ; An apron. ; The point or line from which a start is made; a starting place or a goal in various games. ; A line in a survey which, being accurately determined in length and position, serves as the origin from which to compute the distances and positions of any points or objects connected with it by a system of triangles. ; A rustic play; -- called also prisoner's base, prison base, or bars. ; Any one of the four bounds which mark the circuit of the infield. ; To put on a base or basis; to lay the foundation of; to found, as an argument or conclusion; -- used with on or upon.	a:17ge,52,4;7md,39,4~17ge,52,4;7md,39,4	V:g3c,13,5~g3c,13,5	n:14n9,64,6;djq,47,9;26en,43,5~djq,47,9;14n9,64,6;26en,43,5	N:1on3,75,4;1jdq,27,5;18cp,19,5;15ht,8,5~1jdq,27,5;18cp,19,5;15ht,8,5;1on3,75,4
6g1|a|Of little, or less than the usual, height; of low growth; as, base shrubs. ; Low in place or position. ; Of humble birth; or low degree; lowly; mean. ; Illegitimate by birth; bastard. ; Of little comparative value, as metal inferior to gold and silver, the precious metals. ; Alloyed with inferior metal; debased; as, base coin; base bullion. ; Morally low. Hence: Low-minded; unworthy; without dignity of sentiment; ignoble; mean; illiberal; menial; as, a base fellow; base motives; base occupations. ; Not classical or correct. ; Deep or grave in sound; as, the base tone of a violin. ; Not held by honorable service; as, a base estate, one held by services not honorable; held by villenage. Such a tenure is called base, or low, and the tenant, a base tenant. ; To abase; to let, or cast, down; to lower. ; To reduce the value of; to debase.	j:1on3,55,1~1on3,55,1
6g5|v|of Base	o:1x2y,48,5;v4j,35,7;fdq,33,5;20f9,33,6;1lms,10,12;x3w,7,4;1njd,4,4~1lms,10,12;v4j,35,7;20f9,33,6;1x2y,48,5;fdq,33,5;x3w,7,4;1njd,4,4	s:1i45,83,5;1e6l,71,29;17jv,59,6;9ed,59,3;1kq9,48,6;w3x,45,4;184q,26,5;1pv6,25,4;8by,23,8;1o59,22,3~1e6l,71,29;22cu,16,8;8by,23,8;rpw,5,8;17jv,59,6;1kq9,48,6;1i45,83,5;184q,26,5;7wi,19,5;w3x,45,4
6gc|n|of Basis	n:1abu,115,7~1abu,115,7
6gd|n|To abash; to disconcert or be disconcerted or put out of countenance.	n:28xj,147,3~28xj,147,3
6gk|a|Relating to a base; performing the office of a base in a salt. ; Having the base in excess, or the amount of the base atomically greater than that of the acid, or exceeding in proportion that of the related neutral salt. ; Apparently alkaline, as certain normal salts which exhibit alkaline reactions with test paper. ; Said of crystalline rocks which contain a relatively low percentage of silica, as basalt.	j:18db,60,3;a6m,39,4;zf8,37,4;jba,28,3;1lpj,20,3~a6m,39,4;zf8,37,4;jba,28,3;18db,60,3;1lpj,20,3	e:2753,17,7~2753,17,7
6j5|v|The quantity of bread baked at one time. ; A quantity of anything produced at one operation; a group or collection of persons or things of the same kind; as, a batch of letters; the next batch of business.	s:rpw,34,3~rpw,34,3
6jh|n|The act of exposing the body, or part of the body, for purposes of cleanliness, comfort, health, etc., to water, vapor, hot air, or the like; as, a cold or a hot bath; a medicated bath; a steam bath; a hip bath. ; Water or other liquid for bathing. ; A receptacle or place where persons may immerse or wash their bodies in water. ; A building containing an apartment or a series of apartments arranged for bathing. ; A medium, as heated sand, ashes, steam, hot air, through which heat is applied to a body. ; A solution in which plates or prints are immersed; also, the receptacle holding the solution. ; A Hebrew measure containing the tenth of a homer, or five gallons and three pints, as a measure for liquids; and two pecks and five quarts, as a dry measure. ; A city in the west of England, resorted to for its hot springs, which has given its name to various objects.	v:26of,66,1~26of,66,1	n:26of,94,7;oi,75,4;285t,73,6~26of,94,7;285t,73,6;oi,75,4
6ks|v|The act of battering or beating. ; The unlawful beating of another. It includes every willful, angry and violent, or negligent touching of another's person or clothes, or anything attached to his person or held by him. ; Any place where cannon or mortars are mounted, for attack or defense. ; Two or more pieces of artillery in the field. ; A company or division of artillery, including the gunners, guns, horses, and all equipments. In the United States, a battery of flying artillery consists usually of six guns. ; A number of coated jars (Leyden jars) so connected that they may be charged and discharged simultaneously. ; An apparatus for generating voltaic electricity. ; A number of similar machines or devices in position; an apparatus consisting of a set of similar parts; as, a battery of boilers, of retorts, condensers, etc. ; A series of stamps operated by one motive power, for crushing ores containing the precious metals. ; The box in which the stamps for crushing ore play up and down. ; The pitcher and catcher together.	s:134i,118,5~134i,118,5
